
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.1.5)

2025-11-19T17:56:48.089Z  INFO 4419 --- [           main] c.n.n.NecsusSpringApplication            : Starting NecsusSpringApplication v0.0.1-SNAPSHOT using Java 21.0.8 with PID 4419 (/app/sub/target/sub-0.0.1-SNAPSHOT.jar started by jules in /app)
2025-11-19T17:56:48.091Z DEBUG 4419 --- [           main] c.n.n.NecsusSpringApplication            : Running with Spring Boot v3.1.5, Spring v6.0.13
2025-11-19T17:56:48.092Z  INFO 4419 --- [           main] c.n.n.NecsusSpringApplication            : No active profile set, falling back to 1 default profile: "default"
2025-11-19T17:56:48.093Z DEBUG 4419 --- [           main] o.s.boot.SpringApplication               : Loading source class com.necsus.necsusspring.NecsusSpringApplication
2025-11-19T17:56:48.503Z DEBUG 4419 --- [           main] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@67e2d983
2025-11-19T17:56:48.536Z DEBUG 4419 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2025-11-19T17:56:48.553Z DEBUG 4419 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2025-11-19T17:56:48.637Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/config/RestTemplateConfig.class]
2025-11-19T17:56:48.638Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/config/PasswordConfig.class]
2025-11-19T17:56:48.639Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/config/TeamDataInitializer.class]
2025-11-19T17:56:48.639Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/config/ApiBrasilConfig.class]
2025-11-19T17:56:48.648Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/config/SecurityConfig.class]
